provinsi,nama_kota
JAWA TIMUR,KAB. PACITAN
JAWA TIMUR,KAB. PONOROGO
JAWA TIMUR,KAB. TRENGGALEK
JAWA TIMUR,KAB. TULUNGAGUNG
JAWA TIMUR,KAB. BLITAR
JAWA TIMUR,KAB. KEDIRI
JAWA TIMUR,KAB. MALANG
JAWA TIMUR,KAB. LUMAJANG
JAWA TIMUR,KAB. JEMBER
JAWA TIMUR,KAB. BANYUWANGI
JAWA TIMUR,KAB. BONDOWOSO
JAWA TIMUR,KAB. SITUBONDO
JAWA TIMUR,KAB. PROBOLINGGO
JAWA TIMUR,KAB. PASURUAN
JAWA TIMUR,KAB. SIDOARJO
JAWA TIMUR,KAB. MOJOKERTO
JAWA TIMUR,KAB. JOMBANG
JAWA TIMUR,KAB. NGANJUK
JAWA TIMUR,KAB. MADIUN
JAWA TIMUR,KAB. MAGETAN
JAWA TIMUR,KAB. NGAWI
JAWA TIMUR,KAB. BOJONEGORO
JAWA TIMUR,KAB. TUBAN
JAWA TIMUR,KAB. LAMONGAN
JAWA TIMUR,KAB. GRESIK
JAWA TIMUR,KAB. BANGKALAN
JAWA TIMUR,KAB. SAMPANG
JAWA TIMUR,KAB. PAMEKASAN
JAWA TIMUR,KAB. SUMENEP
JAWA TIMUR,KOTA KEDIRI
JAWA TIMUR,KOTA BLITAR
JAWA TIMUR,KOTA MALANG
JAWA TIMUR,KOTA PROBOLINGGO
JAWA TIMUR,KOTA PASURUAN
JAWA TIMUR,KOTA MOJOKERTO
JAWA TIMUR,KOTA MADIUN
JAWA TIMUR,KOTA SURABAYA
JAWA TIMUR,KOTA BATU
