provinsi,nama_kota
ACEH,KAB. ACEH SELATAN
ACEH,KAB. ACEH TENGGARA
ACEH,KAB. ACEH TIMUR
ACEH,KAB. ACEH TENGAH
ACEH,KAB. ACEH BARAT
ACEH,KAB. ACEH BESAR
ACEH,KAB. PIDIE
ACEH,KAB. ACEH UTARA
ACEH,KAB. SIMEULUE
ACEH,KAB. ACEH SINGKIL
ACEH,KAB. BIREUEN
ACEH,KAB. ACEH BARAT DAYA
ACEH,KAB. GAYO LUES
ACEH,KAB. ACEH JAYA
ACEH,KAB. NAGAN RAYA
ACEH,KAB. ACEH TAMIANG
ACEH,KAB. BENER MERIAH
ACEH,KAB. PIDIE JAYA
ACEH,KOTA BANDA ACEH
ACEH,KOTA SABANG
ACEH,KOTA LHOKSEUMAWE
ACEH,KOTA LANGSA
ACEH,KOTA SUBULUSSALAM
SUMATERA UTARA,KAB. TAPANULI TENGAH
SUMATERA UTARA,KAB. TAPANULI UTARA
SUMATERA UTARA,KAB. TAPANULI SELATAN
SUMATERA UTARA,KAB. NIAS
SUMATERA UTARA,KAB. LANGKAT
SUMATERA UTARA,KAB. KARO
SUMATERA UTARA,KAB. DELI SERDANG
SUMATERA UTARA,KAB. SIMALUNGUN
SUMATERA UTARA,KAB. ASAHAN
SUMATERA UTARA,KAB. LABUHANBATU
SUMATERA UTARA,KAB. DAIRI
SUMATERA UTARA,KAB. TOBA SAMOSIR
SUMATERA UTARA,KAB. MANDAILING NATAL
SUMATERA UTARA,KAB. NIAS SELATAN
SUMATERA UTARA,KAB. PAKPAK BHARAT
SUMATERA UTARA,KAB. HUMBANG HASUNDUTAN
SUMATERA UTARA,KAB. SAMOSIR
SUMATERA UTARA,KAB. SERDANG BEDAGAI
SUMATERA UTARA,KAB. BATU BARA
SUMATERA UTARA,KAB. PADANG LAWAS UTARA
SUMATERA UTARA,KAB. PADANG LAWAS
SUMATERA UTARA,KAB. LABUHANBATU SELATAN
SUMATERA UTARA,KAB. LABUHANBATU UTARA
SUMATERA UTARA,KAB. NIAS UTARA
SUMATERA UTARA,KAB. NIAS BARAT
SUMATERA UTARA,KOTA MEDAN
SUMATERA UTARA,KOTA PEMATANGSIANTAR
SUMATERA UTARA,KOTA SIBOLGA
SUMATERA UTARA,KOTA TANJUNG BALAI
SUMATERA UTARA,KOTA BINJAI
SUMATERA UTARA,KOTA TEBING TINGGI
SUMATERA UTARA,KOTA PADANG SIDEMPUAN
SUMATERA UTARA,KOTA GUNUNGSITOLI
SUMATERA BARAT,KAB. PESISIR SELATAN
SUMATERA BARAT,KAB. SOLOK
SUMATERA BARAT,KAB. SIJUNJUNG
SUMATERA BARAT,KAB. TANAH DATAR
SUMATERA BARAT,KAB. PADANG PARIAMAN
SUMATERA BARAT,KAB. AGAM
SUMATERA BARAT,KAB. LIMA PULUH KOTA
SUMATERA BARAT,KAB. PASAMAN
SUMATERA BARAT,KAB. KEPULAUAN MENTAWAI
SUMATERA BARAT,KAB. DHARMASRAYA
SUMATERA BARAT,KAB. SOLOK SELATAN
SUMATERA BARAT,KAB. PASAMAN BARAT
SUMATERA BARAT,KOTA PADANG
SUMATERA BARAT,KOTA SOLOK
SUMATERA BARAT,KOTA SAWAHLUNTO
SUMATERA BARAT,KOTA PADANG PANJANG
SUMATERA BARAT,KOTA BUKITTINGGI
SUMATERA BARAT,KOTA PAYAKUMBUH
SUMATERA BARAT,KOTA PARIAMAN
RIAU,KAB. KAMPAR
